Country,Average_Education_Level
Belgium,0.3627
Bulgaria,0.251
Czechia,0.2167
Denmark,0.3279000000000001
Germany,0.2595
Estonia,0.3439999999999999
Ireland,0.41900000000000004
Greece,0.2781
Spain,0.3446
France,0.3353
Croatia,0.21510000000000004
Italy,0.17029999999999998
Cyprus,0.39899999999999997
Latvia,0.3119
Lithuania,0.36829999999999996
Luxembourg,0.4017
Hungary,0.22699999999999998
Malta,0.2511
Netherlands,0.34240000000000004
Austria,0.30450000000000005
Poland,0.2774
Portugal,0.2351
Romania,0.15689999999999998
Slovenia,0.2974
Slovakia,0.2229
Finland,0.3652
Sweden,0.3739
Iceland,0.3513
Norway,0.38400000000000006
Switzerland,0.3734
Serbia,0.20550000000000002
TÃ¼rkiye,0.1796
