Unnamed: 0,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Belgium,21705.0,21654.0,22295.0,22733.0,23686,24608.0,25672.0,25855.0,27314.0,28997.0
Bulgaria,3311.0,3332.0,3151.0,3590.0,3590,4224.0,4612.0,5157.0,5378.0,6523.0
Czechia,7622.0,7423.0,7838.0,8282.0,9088,9995.0,10627.0,10625.0,12146.0,13656.0
Denmark,27861.0,28364.0,28665.0,29383.0,30104,30717.0,30681.0,32088.0,33260.0,33903.0
Germany,19733.0,20668.0,21275.0,21920.0,22713,23515.0,26008.0,24946.0,24925.0,26274.0
Estonia,7217.0,7889.0,8645.0,9384.0,10524,11461.0,12228.0,12623.0,14827.0,15128.0
Ireland,20171.0,21629.0,22544.0,22879.0,24920,25422.0,26766.0,28762.0,30063.0,30689.0
Greece,7680.0,7520.0,7500.0,7600.0,7863,8195.0,8781.0,8752.0,9520.0,10050.0
Spain,13269.0,13352.0,13681.0,14203.0,14785,15015.0,16043.0,15892.0,16814.0,18316.0
France,21199.0,21415.0,21713.0,21960.0,22220,22562.0,22143.0,22732.0,23053.0,24179.0
Croatia,5256.0,5526.0,5786.0,6209.0,6596,7194.0,7770.0,8065.0,8760.0,9873.0
Italy,15759.0,15846.0,16247.0,16542.0,16844,17165.0,18067.0,17532.0,18592.0,19819.0
Cyprus,14400.0,13793.0,14020.0,14497.0,15336,16215.0,16704.0,16686.0,17856.0,18873.0
Latvia,5203.0,5828.0,6365.0,6607.0,7333,8187.0,8827.0,9437.0,10258.0,11258.0
Lithuania,4823.0,5180.0,5645.0,6134.0,6895,7586.0,8606.0,9669.0,10195.0,11284.0
Luxembourg,34320.0,35270.0,32841.0,36315.0,34472,36354.0,37844.0,42482.0,45310.0,47636.0
Hungary,4512.0,4556.0,4768.0,4988.0,5424,5852.0,6478.0,6619.0,6975.0,7423.0
Malta,12808.0,13551.0,13617.0,14522.0,14781,15354.0,16240.0,17036.0,18155.0,18940.0
Netherlands,20891.0,21292.0,22733.0,23561.0,24016,24612.0,25801.0,28441.0,29537.0,29249.0
Austria,23211.0,23260.0,23694.0,24752.0,25176,25729.0,26555.0,27428.0,27844.0,31443.0
Poland,5336.0,5556.0,5884.0,5945.0,6574,7124.0,8022.0,8297.0,8946.0,10048.0
Portugal,8229.0,8435.0,8782.0,9071.0,9346,10023.0,10800.0,11089.0,11014.0,11824.0
Romania,2155.0,2315.0,2448.0,2742.0,3284,3851.0,4267.0,4830.0,5512.0,6568.0
Slovenia,11909.0,12332.0,12327.0,12713.0,13244,14067.0,14774.0,15415.0,16544.0,18053.0
Slovakia,6809.0,6930.0,6951.0,7183.0,7462,8119.0,8703.0,8473.0,8819.0,9214.0
Finland,23702.0,23763.0,23650.0,23987.0,24544,24879.0,25490.0,25456.0,26541.0,27346.0
Sweden,25838.0,25306.0,25164.0,25376.0,25540,24474.0,24700.0,25498.0,26738.0,27250.0
Iceland,22487.0,24554.0,28393.0,33874.0,39918,37198.0,,,,
Norway,43775.0,41483.0,39573.0,38471.0,39438,39125.0,40241.0,35911.0,39206.0,41814.0
Switzerland,38162.0,39586.0,44253.0,43741.0,43013,41259.0,43051.0,44753.0,45405.0,49524.0
United Kingdom,20528.0,21028.0,21136.0,20995.0,21464,,,,,
Montenegro,3032.0,3131.0,3200.0,3496.0,3783,3768.0,3911.0,3796.0,4293.0,
North Macedonia,1946.0,2119.0,2233.0,2439.0,2626,2727.0,2983.0,,,
Albania,,,,1760.0,1997,2231.0,2523.0,2583.0,,
Serbia,2426.0,2382.0,2432.0,2534.0,2739,3277.0,3733.0,4093.0,4509.0,
TÃ¼rkiye,3497.0,3386.0,3752.0,3866.0,3499,3021.0,3128.0,2771.0,2804.0,2957.0
Kosovo*,,,,,2059,,,,,
